user_id,full_name,phone,email,pin_code,language,role,created_at,latitude,longitude
a79107b8,suryateja,7815997821,,,English,Seller,2026-08-31T22:32:48,,
47bd3be4,hyfen,5896743214,,,English,Buyer,2026-08-31T23:33:58,,
9aae86ac,surya,7878787878787887,,,English,Buyer,2026-08-31T23:38:20,,
8b5dc370,teja,789789456,,,English,Seller,2026-08-31T23:44:04,,
60c32afc,hyfen,6666666666,,,English,Seller,2026-09-01T00:06:44,,
e2ed30e7,mine,1234567891,,,తెలుగు (Telugu),Buyer,2026-09-01T00:09:33,,
c0c0fd29,hyfen,5858585858,,,English,Buyer,2026-09-01T00:19:17,,
024ff36b,jjj,7845127845,,,తెలుగు (Telugu),Buyer,2026-09-01T00:26:57,,
95dca5b9,lalithanirudh,9121203973,,,मराठी (Marathi),Buyer,2026-09-01T13:02:20,,
984fa527,bharath,8885556966,,,తెలుగు (Telugu),Seller,2026-09-01T13:08:54,,
d79aafe6,venkat,1245488883,,,ગુજરાતી (Gujarati),Buyer,2026-09-01T13:14:42,,
997c05be,newname,2355688412,,,தமிழ் (Tamil),Buyer,2026-09-01T15:55:46,,
0a6f3820,hello,7856965874,,,বাংলা (Bengali),Buyer,2026-09-01T21:11:51,,
a1e0e339,hyfen,7878996658,,,తెలుగు (Telugu),Seller,2026-09-01T21:22:11,,
1b470bdb,teja,3698521456,,,हिंदी (Hindi),Seller,2026-09-01T21:25:50,,
871ae6af,kalyan,4859612378,,,తెలుగు (Telugu),Seller,2026-09-01T21:35:44,,
79b9871e,surya,8596321475,,,বাংলা (Bengali),Seller,2026-09-01T21:55:39,,
